보스 포켓몬,추천 포켓몬,노말 기술,스페셜 기술
프리져,"메가
디안시",돌떨구기,스톤샤워
프리져,"(메가, 그림자)
마기라스",떨어뜨리기*,스톤에지
프리져,"(그림자)
램펄드",떨어뜨리기,스톤샤워
프리져,"메가
프테라",돌떨구기,스톤샤워
프리져,테라키온,떨어뜨리기,스톤샤워
프리져,"(그림자)
거대코뿌리",떨어뜨리기,암석포*
프리져,"네크로즈마
황혼의 갈기",메탈클로,메테오드라이브*
프리져,기가이어스,떨어뜨리기,메테오빔*
프리져,견고라스,돌떨구기,메테오빔
썬더,"그림자
거대코뿌리",떨어뜨리기,암석포*
썬더,"메가
디안시",돌떨구기,스톤샤워
썬더,"그림자
맘모꾸리",눈싸라기,눈사태
파이어,"그림자
램펄드",떨어뜨리기,스톤샤워
파이어,"메가
디안시",돌떨구기,스톤샤워
파이어,"그림자
거대코뿌리",떨어뜨리기,암석포*
파이어,"메가
마기라스",떨어뜨리기*,스톤에지
파이어,"그림자
마기라스",떨어뜨리기*,스톤엥지
그림자 라티아스,무한다이노,드래곤테일,다이맥스포**
그림자 라티아스,"메가
레쿠쟈",드래곤테일,와이드브레이커*
그림자 라티아스,"메가
한카리아스",드래곤테일,와이드브레이커
그림자 라티아스,"블랙
큐레무",드래곤테일,프리즈볼트**
자시안,"자마젠타
방패왕폼",메탈클로,거수탄**
자시안,"자시안
검왕폼",메탈클로,거수참**
자시안,"네크로즈마
황혼의 갈기",메탈클로,메테오드라이브*
자시안,"그림자
메타그로스",불릿펀치,코멧펀치*
자마젠타,"(메가)
레쿠쟈",에어슬래시,화룡점정*
자마젠타,"(그림자)
뮤츠",사이코커터,사이코브레이크*
자마젠타,메가 후딘,사이코커터,사이코키네시스*
자마젠타,"메가
가디안",염동력,사이코키네시스
자마젠타,"메가
라티오스",사념의박치기,사이코키네시스
레지에레키,"원시
그란돈",머드샷,단애의칼*
레지에레키,"메가
한카리아스",머드샷,대지의힘*
메가 쁘사이저,"메가
디안시",돌떨구기,스톤샤워
메가 쁘사이저,"메가
레쿠쟈",에어슬래시,화룡점정**
메가 쁘사이저,"메가
프테라",돌떨구기,스톤샤워
메가 쁘사이저,"()
거대코뿌리",떨어뜨리기,암석포*
메가 쁘사이저,"메가
마기라스",떨어뜨리기*,스톤에지
메가 쁘사이저,"()
램펄드",떨어뜨리기,스톤샤워
메가 쁘사이저,견고라스,돌떨구기,메테오빔
메가 쁘사이저,테라키온,떨어뜨리기,스톤샤워
메가 강철톤,"원시, 그림자)
가이오가",폭포오르기,근원의파동*
메가 강철톤,"(원시)
그란돈",머드샷,단애의칼*
메가 강철톤,"메가, 그림자
리자몽
(X, Y)",회오리불꽃,블라스트번*
메가 강철톤,"메가, 그림자
번치코","카운터
회오리불꽃",블라스트번*
메가 강철톤,"메가, 그림
대짱이",머드샷,하이드로캐논*
메가 강철톤,"메가, 그림자
한카리아스",머드샷,대지의힘*
메가 강철톤,테라키온,두번차기,성스러운칼*
메가 강철톤,"메가
거북왕",물대포,하이드로캐논*
메가 강철톤,"그림자
괴력몬",카운터,폭발펀치
메가 강철톤,"그림자
몰드류","진흙뿌리기
머드샷",열사의대지
메가 강철톤,"그림자
파이어",회오리불꽃,오버히트
메가 강철톤,레시라무,불꽃엄니,크로스플레임*
메가 강철톤,"그림자
칠색조",불태우기,"성스러운불꽃*
(+)"
메가 강철톤,케르디오,안다리걸기,성스러운칼
메가 강철톤,"메가
갸라도스",폭포오르기,"하이드로펌프
아쿠아테일*"
메가 강철톤,"그림자
앤테이","불꽃엄니
회오리불꽃",오버히트
메가 강철톤,"그림자
맘모꾸리",진흙뿌리기,10만마력
메가 강철톤,"랜드로스
영물폼",머드샷,열사의폭풍*
메가 강철톤,"그림자
샹델라",회오리불꽃,오버히트
메가 강철톤,메가 헬가,불꽃엄니,화염방사
메가 강철톤,메가 후딘,카운터*,기합구슬
메가 강철톤,루카리오,카운터,파동탄
메가 강철톤,개굴닌자,물수리검,하이드로캐논*
메가 강철톤,불카모스,회오리불꽃,오버히트
메가 야도란,"네크로즈마
새벽의날개",섀도클로,섀도레이**
메가 야도란,"(메가)
팬텀","핥기*
섀도클로",섀도볼
메가 야도란,"(메가)
나무킹","연속자르기
씨기관총","하드플랜트*
리프블레이드"
메가 야도란,"(메가, 그림자)
마기라스",물기,세차게휘두르기
메가 야도란,"(메가)
앱솔",바크아웃,세차게휘두르기*
메가 야도란,"(그림자)
라이코",전기쇼크,와일드볼트
메가 야도란,종이신도,잎날가르기,리프블레이드
메가 야도란,"(그림자)
레지기가스","잠재파워
(1.6배 피해)",묵사발*
메가 야도란,"(그림자)
에레키블",전기쇼크,와일드볼트
메가 야도란,레지에레키,"록온
전기쇼크",썬더프리즌*
메가 야도란,"메가
다크펫",섀도클로,섀도볼
메가 야도란,"(그림자)
자포코일",스파크,와일드볼트
메가 야도란,제크로무,차지빔,크로스썬더*
메가 야도란,전수목,전기쇼크,방전
메가 야도란,"메가
썬더볼트",번개엄니,와일드볼트
메가 야도란,"메가
레쿠쟈",드래곤테일,화룡점정**
메가 야도란,"볼트로스
영물폼",볼트체인지,번개폭풍*
메가 야도란,"그림자
뮤츠",사이코커터,섀도볼*
메가 야도란,"(그림자)
포푸니라",바크아웃,속임수
메가 야도란,"그림자
썬더",전기쇼크*,10만볼트
메가 야도란,"메가
헬가",바크아웃,속임수
메가 야도란,"블랙
큐레무",섀도클로,크로스썬더
메가 야도란,자루도,덩쿨채찍,파워휩
메가 야도란,"(메가)
이상해꽃",덩쿨채찍,하드플랜트*
메가 야도란,"메가
쁘사이저",연속자르기,시저크로스
메가 야도란,"메가
후딘",사이코커터,섀도볼
